plane	wire	sx	sy	sz	ex	ey	ez
0	286	-6.34706e-14	17.9478	0.206489	-4.23844e-14	117.36	172.394	
0	287	-6.34706e-14	17.6014	0.206489	-4.23109e-14	117.36	172.994	
0	288	-6.34706e-14	17.255	0.206489	-4.22375e-14	117.36	173.594	
0	289	-6.34706e-14	16.9086	0.206489	-4.2164e-14	117.36	174.194	
0	290	-6.34706e-14	16.5622	0.206489	-4.20905e-14	117.36	174.794	
0	291	-6.34706e-14	16.2158	0.206489	-4.2017e-14	117.36	175.394	
0	292	-6.34706e-14	15.8694	0.206489	-4.19436e-14	117.36	175.994	
0	293	-6.34706e-14	15.523	0.206489	-4.18701e-14	117.36	176.594	
0	294	-6.34706e-14	15.1766	0.206489	-4.17966e-14	117.36	177.194	
0	295	-6.34706e-14	14.8302	0.206489	-4.17231e-14	117.36	177.794	
0	296	-6.34706e-14	14.4837	0.206489	-4.16497e-14	117.36	178.394	
0	297	-6.34706e-14	14.1373	0.206489	-4.15762e-14	117.36	178.994	
0	298	-6.34706e-14	13.7909	0.206489	-4.15027e-14	117.36	179.594	
0	299	-6.34706e-14	13.4445	0.206489	-4.14292e-14	117.36	180.194	
0	300	-6.34706e-14	13.0981	0.206489	-4.13558e-14	117.36	180.794	
0	301	-6.34706e-14	12.7517	0.206489	-4.12823e-14	117.36	181.394	
0	302	-6.34706e-14	12.4053	0.206489	-4.12088e-14	117.36	181.994	
0	303	-6.34706e-14	12.0589	0.206489	-4.11353e-14	117.36	182.594	
0	304	-6.34706e-14	11.7125	0.206489	-4.10618e-14	117.36	183.194	
0	305	-6.34706e-14	11.3661	0.206489	-4.09884e-14	117.36	183.794	
0	306	-6.34706e-14	11.0196	0.206489	-4.09149e-14	117.36	184.394	
0	307	-6.34706e-14	10.6732	0.206489	-4.08414e-14	117.36	184.994	
0	308	-6.34706e-14	10.3268	0.206489	-4.07679e-14	117.36	185.594	
0	309	-6.34706e-14	9.98041	0.206489	-4.06945e-14	117.36	186.194	
0	310	-6.34706e-14	9.634	0.206489	-4.0621e-14	117.36	186.794	
0	311	-6.34706e-14	9.28759	0.206489	-4.05475e-14	117.36	187.394	
0	312	-6.34706e-14	8.94118	0.206489	-4.0474e-14	117.36	187.994	
0	313	-6.34706e-14	8.59477	0.206489	-4.04006e-14	117.36	188.594	
0	314	-6.34706e-14	8.24836	0.206489	-4.03271e-14	117.36	189.194	
0	315	-6.34706e-14	7.90195	0.206489	-4.02536e-14	117.36	189.794	
0	316	-6.34706e-14	7.55554	0.206489	-4.01801e-14	117.36	190.394	
0	317	-6.34706e-14	7.20913	0.206489	-4.01067e-14	117.36	190.994	
0	318	-6.34706e-14	6.86272	0.206489	-4.00332e-14	117.36	191.594	
0	319	-6.34706e-14	6.51631	0.206489	-3.99597e-14	117.36	192.194	
0	320	-6.34706e-14	6.1699	0.206489	-3.98862e-14	117.36	192.794	
0	321	-6.34706e-14	5.82349	0.206489	-3.98127e-14	117.36	193.394	
0	322	-6.34706e-14	5.47708	0.206489	-3.97393e-14	117.36	193.994	
0	323	-6.34706e-14	5.13067	0.206489	-3.96658e-14	117.36	194.594	
0	324	-6.34706e-14	4.78426	0.206489	-3.95923e-14	117.36	195.194	
0	325	-6.34706e-14	4.43785	0.206489	-3.95188e-14	117.36	195.794	
0	326	-6.34706e-14	4.09144	0.206489	-3.94454e-14	117.36	196.394	
0	327	-6.34706e-14	3.74503	0.206489	-3.93719e-14	117.36	196.994	
0	328	-6.34706e-14	3.39862	0.206489	-3.92984e-14	117.36	197.594	
0	329	-6.34706e-14	3.05221	0.206489	-3.92249e-14	117.36	198.194	
0	330	-6.34706e-14	2.7058	0.206489	-3.91515e-14	117.36	198.794	
0	331	-6.34706e-14	2.35939	0.206489	-3.9078e-14	117.36	199.394	
0	332	-6.34706e-14	2.01298	0.206489	-3.90045e-14	117.36	199.994	
0	333	-6.34706e-14	1.66657	0.206489	-3.8931e-14	117.36	200.594	
0	334	-6.34706e-14	1.32016	0.206489	-3.88576e-14	117.36	201.194	
0	335	-6.34706e-14	0.973747	0.206489	-3.87841e-14	117.36	201.794	
0	336	-6.34706e-14	0.627336	0.206489	-3.87106e-14	117.36	202.394	
